microRNA ID	RCC01	RCC02	RCC03	RCC04	RCC05	RCC06	RCC07	RCC08	RCC09	RCC10	RCC11	RCC12	RCC13	RCC14	RCC15	RCC16	RCC17	RCC18	RCC19	RCC20	RCC21	RCC22	RCC23	RCC24
miR-1304-3p	6,011885991	3,282232441	3,142421391	1,729616912	3,006802214	3,089277398	2,734863065	3,518433399	3,155136832	3,590929564	4,550424215	2,969139761	3,357314828	1,977395081	3,005375485	3,126402093	4,121364864	2,688606544	3,923557605	3,094164721	2,532690771	2,79203817	4,116337649	4,093880379
let-7a-5p	6,011885991	14,17559636	14,50380898	13,17421073	14,66955634	11,58942349	7,727690941	11,75163509	15,47281669	14,54193833	12,33330659	14,11014526	16,15733558	12,91705202	13,56305691	14,48661255	14,79064962	14,96232936	9,75780114	14,86688472	12,48235322	13,97185422	16,12615833	14,69566136
miR-140-3p	5,985999583	11,26899241	10,89970273	11,86805666	11,92766694	9,723112475	4,629936966	8,725016982	12,38754728	13,00909211	10,05993474	12,1886117	13,04047619	11,51734537	11,10638784	12,58934703	12,56141201	12,44551019	6,16630359	12,50996169	10,77552145	11,69674415	13,41350838	12,40681746
miR-4683-3p	5,985999583	5,217632948	4,74056155	4,884378437	4,234936284	5,635924608	4,805014061	5,301514921	3,541998668	4,394140377	4,598784386	3,209259875	4,253789079	3,856935594	4,200022734	3,998931697	4,530844778	3,253463564	4,401695156	4,402203629	4,531781303	4,171801605	3,19800478	4,838887201
miR-1262-3p	5,959640192	1,570846101	0,867470388	-1,90150576	0,17761585	1,219352741	1,261487831	0,09363956	0,615543577	0,474841898	2,09138157	0,753374841	0,505156651	1,356993335	-0,128923098	1,425567363	-1,90150576	-0,49606481	1,699991359	-1,90150576	2,716969866	2,05371522	0,014496819	0,916647969
miR-1469-5p	5,959640192	3,347541281	3,835806777	4,760035642	4,267636983	4,519542331	5,712785578	4,937564191	3,188869775	4,231305502	3,949018306	3,899275265	3,64979274	2,279575867	3,408340073	2,351837065	2,580108733	3,185097439	5,392531463	3,221471736	5,420938299	3,35829522	3,138432613	3,586536711
miR-3123-3p	5,932790213	9,269198458	8,202135299	7,582918235	8,349533653	6,760985776	5,009621932	7,08920988	8,553881308	8,322228997	7,233026666	7,238935217	8,315135469	6,340045445	6,409475989	7,992185919	9,036247669	6,605405615	2,24478152	6,916491753	5,61908359	8,963166853	9,435854653	8,662784925
miR-553-3p	5,932790213	5,572051463	4,244067377	4,623956533	5,257577847	6,661704397	6,417147909	5,114435441	5,782969927	4,823760323	6,756260799	5,451378433	3,855082573	5,377014621	4,148333262	6,21009761	6,346614324	5,188256792	6,81778607	5,91968485	6,185884924	6,324965498	4,734661636	4,330085257
miR-6076-3p	5,932790213	1,049454588	2,862600452	-1,90150576	2,326561971	2,133951683	2,483383875	2,092423334	0,615543577	1,328760631	2,735066624	2,783522297	1,128966319	1,594680724	1,808143554	2,658555904	1,728644077	-0,49606481	3,419849752	2,20181296	1,396641205	1,314484524	2,239482128	2,239651512
miR-2861-5p	5,932790213	2,986687287	2,303943074	3,897393892	3,942634469	4,757957903	6,096349039	5,046266354	2,720282932	3,656586345	3,300565118	2,450814171	3,244974205	4,321547356	-0,128923098	1,804210669	2,27423509	2,356927292	4,451691116	-1,90150576	4,003221242	3,877177169	1,851448184	2,993303053
miR-6756-3p	5,905431037	2,384987291	1,757560246	1,436508729	4,234936284	3,877054436	5,146035298	3,17967144	2,893944855	3,118264904	4,157108883	3,133575075	3,123141437	2,927510564	2,75192719	2,911360991	3,49968254	3,253463564	2,24478152	3,02603461	3,394641635	1,846741942	2,717728685	2,665140322
miR-1227-5p	5,905431037	1,333577197	3,009284471	3,034633244	0,17761585	2,68928556	3,705563511	3,950110603	0,615543577	3,118264904	3,791492163	3,209259875	0,05019694	2,742098322	1,513522973	2,658555904	1,552549041	2,476162758	4,874580348	2,53163674	4,991130214	2,671566962	0,014496819	2,110301303
